+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUUR0000SA0 | 2021 |  M12   | 278.802 |           |
| CUUR0000SA0 | 2021 |  M11   | 277.948 |           |
| CUUR0000SA0 | 2021 |  M10   | 276.589 |           |
| CUUR0000SA0 | 2021 |  M09   | 274.310 |           |
| CUUR0000SA0 | 2021 |  M08   | 273.567 |           |
| CUUR0000SA0 | 2021 |  M07   | 273.003 |           |
| CUUR0000SA0 | 2021 |  M06   | 271.696 |           |
| CUUR0000SA0 | 2021 |  M05   | 269.195 |           |
| CUUR0000SA0 | 2021 |  M04   | 267.054 |           |
| CUUR0000SA0 | 2021 |  M03   | 264.877 |           |
| CUUR0000SA0 | 2021 |  M02   | 263.014 |           |
| CUUR0000SA0 | 2021 |  M01   | 261.582 |           |
| CUUR0000SA0 | 2020 |  M12   | 260.474 |           |
| CUUR0000SA0 | 2020 |  M11   | 260.229 |           |
| CUUR0000SA0 | 2020 |  M10   | 260.388 |           |
| CUUR0000SA0 | 2020 |  M09   | 260.280 |           |
| CUUR0000SA0 | 2020 |  M08   | 259.918 |           |
| CUUR0000SA0 | 2020 |  M07   | 259.101 |           |
| CUUR0000SA0 | 2020 |  M06   | 257.797 |           |
| CUUR0000SA0 | 2020 |  M05   | 256.394 |           |
| CUUR0000SA0 | 2020 |  M04   | 256.389 |           |
| CUUR0000SA0 | 2020 |  M03   | 258.115 |           |
| CUUR0000SA0 | 2020 |  M02   | 258.678 |           |
| CUUR0000SA0 | 2020 |  M01   | 257.971 |           |
| CUUR0000SA0 | 2019 |  M12   | 256.974 |           |
| CUUR0000SA0 | 2019 |  M11   | 257.208 |           |
| CUUR0000SA0 | 2019 |  M10   | 257.346 |           |
| CUUR0000SA0 | 2019 |  M09   | 256.759 |           |
| CUUR0000SA0 | 2019 |  M08   | 256.558 |           |
| CUUR0000SA0 | 2019 |  M07   | 256.571 |           |
| CUUR0000SA0 | 2019 |  M06   | 256.143 |           |
| CUUR0000SA0 | 2019 |  M05   | 256.092 |           |
| CUUR0000SA0 | 2019 |  M04   | 255.548 |           |
| CUUR0000SA0 | 2019 |  M03   | 254.202 |           |
| CUUR0000SA0 | 2019 |  M02   | 252.776 |           |
| CUUR0000SA0 | 2019 |  M01   | 251.712 |           |
| CUUR0000SA0 | 2018 |  M12   | 251.233 |           |
| CUUR0000SA0 | 2018 |  M11   | 252.038 |           |
| CUUR0000SA0 | 2018 |  M10   | 252.885 |           |
| CUUR0000SA0 | 2018 |  M09   | 252.439 |           |
| CUUR0000SA0 | 2018 |  M08   | 252.146 |           |
| CUUR0000SA0 | 2018 |  M07   | 252.006 |           |
| CUUR0000SA0 | 2018 |  M06   | 251.989 |           |
| CUUR0000SA0 | 2018 |  M05   | 251.588 |           |
| CUUR0000SA0 | 2018 |  M04   | 250.546 |           |
| CUUR0000SA0 | 2018 |  M03   | 249.554 |           |
| CUUR0000SA0 | 2018 |  M02   | 248.991 |           |
| CUUR0000SA0 | 2018 |  M01   | 247.867 |           |
| CUUR0000SA0 | 2017 |  M12   | 246.524 |           |
| CUUR0000SA0 | 2017 |  M11   | 246.669 |           |
| CUUR0000SA0 | 2017 |  M10   | 246.663 |           |
| CUUR0000SA0 | 2017 |  M09   | 246.819 |           |
| CUUR0000SA0 | 2017 |  M08   | 245.519 |           |
| CUUR0000SA0 | 2017 |  M07   | 244.786 |           |
| CUUR0000SA0 | 2017 |  M06   | 244.955 |           |
| CUUR0000SA0 | 2017 |  M05   | 244.733 |           |
| CUUR0000SA0 | 2017 |  M04   | 244.524 |           |
| CUUR0000SA0 | 2017 |  M03   | 243.801 |           |
| CUUR0000SA0 | 2017 |  M02   | 243.603 |           |
| CUUR0000SA0 | 2017 |  M01   | 242.839 |           |
| CUUR0000SA0 | 2016 |  M12   | 241.432 |           |
| CUUR0000SA0 | 2016 |  M11   | 241.353 |           |
| CUUR0000SA0 | 2016 |  M10   | 241.729 |           |
| CUUR0000SA0 | 2016 |  M09   | 241.428 |           |
| CUUR0000SA0 | 2016 |  M08   | 240.849 |           |
| CUUR0000SA0 | 2016 |  M07   | 240.628 |           |
| CUUR0000SA0 | 2016 |  M06   | 241.018 |           |
| CUUR0000SA0 | 2016 |  M05   | 240.229 |           |
| CUUR0000SA0 | 2016 |  M04   | 239.261 |           |
| CUUR0000SA0 | 2016 |  M03   | 238.132 |           |
| CUUR0000SA0 | 2016 |  M02   | 237.111 |           |
| CUUR0000SA0 | 2016 |  M01   | 236.916 |           |
+-------------+------+--------+---------+-----------+
