Series ID,Year,Period,Label,Value
CES0500000002,2012,M01,2012 Jan,34.5
CES0500000002,2012,M02,2012 Feb,34.5
CES0500000002,2012,M03,2012 Mar,34.4
CES0500000002,2012,M04,2012 Apr,34.5
CES0500000002,2012,M05,2012 May,34.4
CES0500000002,2012,M06,2012 Jun,34.4
CES0500000002,2012,M07,2012 Jul,34.4
CES0500000002,2012,M08,2012 Aug,34.4
CES0500000002,2012,M09,2012 Sep,34.4
CES0500000002,2012,M10,2012 Oct,34.4
CES0500000002,2012,M11,2012 Nov,34.4
CES0500000002,2012,M12,2012 Dec,34.5
CES0500000002,2013,M01,2013 Jan,34.4
CES0500000002,2013,M02,2013 Feb,34.5
CES0500000002,2013,M03,2013 Mar,34.5
CES0500000002,2013,M04,2013 Apr,34.4
CES0500000002,2013,M05,2013 May,34.5
CES0500000002,2013,M06,2013 Jun,34.5
CES0500000002,2013,M07,2013 Jul,34.4
CES0500000002,2013,M08,2013 Aug,34.5
CES0500000002,2013,M09,2013 Sep,34.4
CES0500000002,2013,M10,2013 Oct,34.4
CES0500000002,2013,M11,2013 Nov,34.5
CES0500000002,2013,M12,2013 Dec,34.4
CES0500000002,2014,M01,2014 Jan,34.4
CES0500000002,2014,M02,2014 Feb,34.3
CES0500000002,2014,M03,2014 Mar,34.5
CES0500000002,2014,M04,2014 Apr,34.5
CES0500000002,2014,M05,2014 May,34.5
CES0500000002,2014,M06,2014 Jun,34.5
CES0500000002,2014,M07,2014 Jul,34.5
CES0500000002,2014,M08,2014 Aug,34.6
CES0500000002,2014,M09,2014 Sep,34.5
CES0500000002,2014,M10,2014 Oct,34.6
CES0500000002,2014,M11,2014 Nov,34.6
CES0500000002,2014,M12,2014 Dec,34.6
CES0500000002,2015,M01,2015 Jan,34.5
CES0500000002,2015,M02,2015 Feb,34.6
CES0500000002,2015,M03,2015 Mar,34.5
CES0500000002,2015,M04,2015 Apr,34.5
CES0500000002,2015,M05,2015 May,34.5
CES0500000002,2015,M06,2015 Jun,34.5
CES0500000002,2015,M07,2015 Jul,34.5
CES0500000002,2015,M08,2015 Aug,34.5
CES0500000002,2015,M09,2015 Sep,34.5
CES0500000002,2015,M10,2015 Oct,34.6
CES0500000002,2015,M11,2015 Nov,34.5
CES0500000002,2015,M12,2015 Dec,34.5
CES0500000002,2016,M01,2016 Jan,34.6
CES0500000002,2016,M02,2016 Feb,34.4
CES0500000002,2016,M03,2016 Mar,34.4
CES0500000002,2016,M04,2016 Apr,34.4
CES0500000002,2016,M05,2016 May,34.4
CES0500000002,2016,M06,2016 Jun,34.4
CES0500000002,2016,M07,2016 Jul,34.4
CES0500000002,2016,M08,2016 Aug,34.3
CES0500000002,2016,M09,2016 Sep,34.4
CES0500000002,2016,M10,2016 Oct,34.4
CES0500000002,2016,M11,2016 Nov,34.4
CES0500000002,2016,M12,2016 Dec,34.4
CES0500000002,2017,M01,2017 Jan,34.4
CES0500000002,2017,M02,2017 Feb,34.3
CES0500000002,2017,M03,2017 Mar,34.3
CES0500000002,2017,M04,2017 Apr,34.4
CES0500000002,2017,M05,2017 May,34.4
CES0500000002,2017,M06,2017 Jun,34.4
CES0500000002,2017,M07,2017 Jul,34.4
CES0500000002,2017,M08,2017 Aug,34.4
CES0500000002,2017,M09,2017 Sep,34.3
CES0500000002,2017,M10,2017 Oct,34.4
CES0500000002,2017,M11,2017 Nov,34.5
CES0500000002,2017,M12,2017 Dec,34.5
CES0500000002,2018,M01,2018 Jan,34.4
CES0500000002,2018,M02,2018 Feb,34.5
CES0500000002,2018,M03,2018 Mar,34.5
CES0500000002,2018,M04,2018 Apr,34.5
CES0500000002,2018,M05,2018 May,34.5
CES0500000002,2018,M06,2018 Jun,34.5
CES0500000002,2018,M07,2018 Jul,34.5
CES0500000002,2018,M08,2018 Aug,34.5
CES0500000002,2018,M09,2018 Sep,34.5
CES0500000002,2018,M10,2018 Oct,34.5
CES0500000002,2018,M11,2018 Nov,34.4
CES0500000002,2018,M12,2018 Dec,34.5
CES0500000002,2019,M01,2019 Jan,34.5
CES0500000002,2019,M02,2019 Feb,34.4
CES0500000002,2019,M03,2019 Mar,34.5
CES0500000002,2019,M04,2019 Apr,34.4
CES0500000002,2019,M05,2019 May,34.4
CES0500000002,2019,M06,2019 Jun,34.4
CES0500000002,2019,M07,2019 Jul,34.4
CES0500000002,2019,M08,2019 Aug,34.4
CES0500000002,2019,M09,2019 Sep,34.4
CES0500000002,2019,M10,2019 Oct,34.4
CES0500000002,2019,M11,2019 Nov,34.3
CES0500000002,2019,M12,2019 Dec,34.3
CES0500000002,2020,M01,2020 Jan,34.3
CES0500000002,2020,M02,2020 Feb,34.4
CES0500000002,2020,M03,2020 Mar,34.1
CES0500000002,2020,M04,2020 Apr,34.2
CES0500000002,2020,M05,2020 May,34.7
CES0500000002,2020,M06,2020 Jun,34.6
CES0500000002,2020,M07,2020 Jul,34.6
CES0500000002,2020,M08,2020 Aug,34.7
CES0500000002,2020,M09,2020 Sep,34.8
CES0500000002,2020,M10,2020 Oct,34.9
CES0500000002,2020,M11,2020 Nov,34.8
CES0500000002,2020,M12,2020 Dec,34.7
CES0500000002,2021,M01,2021 Jan,35.0
CES0500000002,2021,M02,2021 Feb,34.6
CES0500000002,2021,M03,2021 Mar,34.9
CES0500000002,2021,M04,2021 Apr,34.9
CES0500000002,2021,M05,2021 May,34.9
CES0500000002,2021,M06,2021 Jun,34.8
