Series ID,Year,Period,Label,Value
CES0500000001,2012,M01,2012 Jan,111304
CES0500000001,2012,M02,2012 Feb,111565
CES0500000001,2012,M03,2012 Mar,111809
CES0500000001,2012,M04,2012 Apr,111903
CES0500000001,2012,M05,2012 May,112023
CES0500000001,2012,M06,2012 Jun,112077
CES0500000001,2012,M07,2012 Jul,112246
CES0500000001,2012,M08,2012 Aug,112415
CES0500000001,2012,M09,2012 Sep,112593
CES0500000001,2012,M10,2012 Oct,112774
CES0500000001,2012,M11,2012 Nov,112950
CES0500000001,2012,M12,2012 Dec,113185
CES0500000001,2013,M01,2013 Jan,113394
CES0500000001,2013,M02,2013 Feb,113660
CES0500000001,2013,M03,2013 Mar,113810
CES0500000001,2013,M04,2013 Apr,114002
CES0500000001,2013,M05,2013 May,114229
CES0500000001,2013,M06,2013 Jun,114434
CES0500000001,2013,M07,2013 Jul,114571
CES0500000001,2013,M08,2013 Aug,114797
CES0500000001,2013,M09,2013 Sep,114980
CES0500000001,2013,M10,2013 Oct,115210
CES0500000001,2013,M11,2013 Nov,115461
CES0500000001,2013,M12,2013 Dec,115553
CES0500000001,2014,M01,2014 Jan,115734
CES0500000001,2014,M02,2014 Feb,115889
CES0500000001,2014,M03,2014 Mar,116135
CES0500000001,2014,M04,2014 Apr,116440
CES0500000001,2014,M05,2014 May,116679
CES0500000001,2014,M06,2014 Jun,116942
CES0500000001,2014,M07,2014 Jul,117168
CES0500000001,2014,M08,2014 Aug,117402
CES0500000001,2014,M09,2014 Sep,117669
CES0500000001,2014,M10,2014 Oct,117901
CES0500000001,2014,M11,2014 Nov,118177
CES0500000001,2014,M12,2014 Dec,118430
CES0500000001,2015,M01,2015 Jan,118608
CES0500000001,2015,M02,2015 Feb,118861
CES0500000001,2015,M03,2015 Mar,118940
CES0500000001,2015,M04,2015 Apr,119189
CES0500000001,2015,M05,2015 May,119513
CES0500000001,2015,M06,2015 Jun,119684
CES0500000001,2015,M07,2015 Jul,119951
CES0500000001,2015,M08,2015 Aug,120066
CES0500000001,2015,M09,2015 Sep,120241
CES0500000001,2015,M10,2015 Oct,120531
CES0500000001,2015,M11,2015 Nov,120743
CES0500000001,2015,M12,2015 Dec,121000
CES0500000001,2016,M01,2016 Jan,121091
CES0500000001,2016,M02,2016 Feb,121279
CES0500000001,2016,M03,2016 Mar,121476
CES0500000001,2016,M04,2016 Apr,121667
CES0500000001,2016,M05,2016 May,121693
CES0500000001,2016,M06,2016 Jun,121970
CES0500000001,2016,M07,2016 Jul,122232
CES0500000001,2016,M08,2016 Aug,122380
CES0500000001,2016,M09,2016 Sep,122630
CES0500000001,2016,M10,2016 Oct,122776
CES0500000001,2016,M11,2016 Nov,122924
CES0500000001,2016,M12,2016 Dec,123111
CES0500000001,2017,M01,2017 Jan,123312
CES0500000001,2017,M02,2017 Feb,123492
CES0500000001,2017,M03,2017 Mar,123631
CES0500000001,2017,M04,2017 Apr,123830
CES0500000001,2017,M05,2017 May,124041
CES0500000001,2017,M06,2017 Jun,124225
CES0500000001,2017,M07,2017 Jul,124394
CES0500000001,2017,M08,2017 Aug,124603
CES0500000001,2017,M09,2017 Sep,124679
CES0500000001,2017,M10,2017 Oct,124792
CES0500000001,2017,M11,2017 Nov,124974
CES0500000001,2017,M12,2017 Dec,125145
CES0500000001,2018,M01,2018 Jan,125294
CES0500000001,2018,M02,2018 Feb,125654
CES0500000001,2018,M03,2018 Mar,125868
CES0500000001,2018,M04,2018 Apr,126033
CES0500000001,2018,M05,2018 May,126342
CES0500000001,2018,M06,2018 Jun,126507
CES0500000001,2018,M07,2018 Jul,126601
CES0500000001,2018,M08,2018 Aug,126800
CES0500000001,2018,M09,2018 Sep,126842
CES0500000001,2018,M10,2018 Oct,126988
CES0500000001,2018,M11,2018 Nov,127100
CES0500000001,2018,M12,2018 Dec,127312
CES0500000001,2019,M01,2019 Jan,127581
CES0500000001,2019,M02,2019 Feb,127595
CES0500000001,2019,M03,2019 Mar,127787
CES0500000001,2019,M04,2019 Apr,128037
CES0500000001,2019,M05,2019 May,128117
CES0500000001,2019,M06,2019 Jun,128246
CES0500000001,2019,M07,2019 Jul,128364
