Series ID,Year,Period,Label,Value
LNS12000000,2012,M01,2012 Jan,141584
LNS12000000,2012,M02,2012 Feb,141858
LNS12000000,2012,M03,2012 Mar,142036
LNS12000000,2012,M04,2012 Apr,141899
LNS12000000,2012,M05,2012 May,142206
LNS12000000,2012,M06,2012 Jun,142391
LNS12000000,2012,M07,2012 Jul,142292
LNS12000000,2012,M08,2012 Aug,142291
LNS12000000,2012,M09,2012 Sep,143044
LNS12000000,2012,M10,2012 Oct,143431
LNS12000000,2012,M11,2012 Nov,143333
LNS12000000,2012,M12,2012 Dec,143330
LNS12000000,2013,M01,2013 Jan,143292
LNS12000000,2013,M02,2013 Feb,143362
LNS12000000,2013,M03,2013 Mar,143316
LNS12000000,2013,M04,2013 Apr,143635
LNS12000000,2013,M05,2013 May,143882
LNS12000000,2013,M06,2013 Jun,143999
LNS12000000,2013,M07,2013 Jul,144264
LNS12000000,2013,M08,2013 Aug,144326
LNS12000000,2013,M09,2013 Sep,144418
LNS12000000,2013,M10,2013 Oct,143537
LNS12000000,2013,M11,2013 Nov,144479
LNS12000000,2013,M12,2013 Dec,144778
LNS12000000,2014,M01,2014 Jan,145150
LNS12000000,2014,M02,2014 Feb,145134
LNS12000000,2014,M03,2014 Mar,145648
LNS12000000,2014,M04,2014 Apr,145667
LNS12000000,2014,M05,2014 May,145825
LNS12000000,2014,M06,2014 Jun,146247
LNS12000000,2014,M07,2014 Jul,146399
LNS12000000,2014,M08,2014 Aug,146530
LNS12000000,2014,M09,2014 Sep,146778
LNS12000000,2014,M10,2014 Oct,147427
LNS12000000,2014,M11,2014 Nov,147404
LNS12000000,2014,M12,2014 Dec,147615
LNS12000000,2015,M01,2015 Jan,148145
LNS12000000,2015,M02,2015 Feb,148045
LNS12000000,2015,M03,2015 Mar,148128
LNS12000000,2015,M04,2015 Apr,148511
LNS12000000,2015,M05,2015 May,148817
LNS12000000,2015,M06,2015 Jun,148816
LNS12000000,2015,M07,2015 Jul,148830
LNS12000000,2015,M08,2015 Aug,149181
LNS12000000,2015,M09,2015 Sep,148826
LNS12000000,2015,M10,2015 Oct,149246
LNS12000000,2015,M11,2015 Nov,149463
LNS12000000,2015,M12,2015 Dec,150128
LNS12000000,2016,M01,2016 Jan,150653
LNS12000000,2016,M02,2016 Feb,150939
LNS12000000,2016,M03,2016 Mar,151218
LNS12000000,2016,M04,2016 Apr,151074
LNS12000000,2016,M05,2016 May,151132
LNS12000000,2016,M06,2016 Jun,151223
LNS12000000,2016,M07,2016 Jul,151554
LNS12000000,2016,M08,2016 Aug,151779
LNS12000000,2016,M09,2016 Sep,151761
LNS12000000,2016,M10,2016 Oct,151793
LNS12000000,2016,M11,2016 Nov,151954
LNS12000000,2016,M12,2016 Dec,152157
LNS12000000,2017,M01,2017 Jan,152152
LNS12000000,2017,M02,2017 Feb,152480
LNS12000000,2017,M03,2017 Mar,153065
LNS12000000,2017,M04,2017 Apr,153255
LNS12000000,2017,M05,2017 May,153069
LNS12000000,2017,M06,2017 Jun,153318
LNS12000000,2017,M07,2017 Jul,153569
LNS12000000,2017,M08,2017 Aug,153503
LNS12000000,2017,M09,2017 Sep,154286
LNS12000000,2017,M10,2017 Oct,153609
LNS12000000,2017,M11,2017 Nov,153805
LNS12000000,2017,M12,2017 Dec,153904
LNS12000000,2018,M01,2018 Jan,154493
LNS12000000,2018,M02,2018 Feb,155259
LNS12000000,2018,M03,2018 Mar,155303
LNS12000000,2018,M04,2018 Apr,155362
LNS12000000,2018,M05,2018 May,155694
LNS12000000,2018,M06,2018 Jun,155734
LNS12000000,2018,M07,2018 Jul,156115
LNS12000000,2018,M08,2018 Aug,155512
LNS12000000,2018,M09,2018 Sep,155970
LNS12000000,2018,M10,2018 Oct,156294
LNS12000000,2018,M11,2018 Nov,156606
LNS12000000,2018,M12,2018 Dec,156767
LNS12000000,2019,M01,2019 Jan,156614
LNS12000000,2019,M02,2019 Feb,156992
LNS12000000,2019,M03,2019 Mar,156869
LNS12000000,2019,M04,2019 Apr,156744
LNS12000000,2019,M05,2019 May,156868
LNS12000000,2019,M06,2019 Jun,157123
LNS12000000,2019,M07,2019 Jul,157488
LNS12000000,2019,M08,2019 Aug,157780
LNS12000000,2019,M09,2019 Sep,158249
LNS12000000,2019,M10,2019 Oct,158356
LNS12000000,2019,M11,2019 Nov,158504
LNS12000000,2019,M12,2019 Dec,158772
LNS12000000,2020,M01,2020 Jan,158653
LNS12000000,2020,M02,2020 Feb,158866
LNS12000000,2020,M03,2020 Mar,155599
LNS12000000,2020,M04,2020 Apr,133320
LNS12000000,2020,M05,2020 May,137182
LNS12000000,2020,M06,2020 Jun,142218
LNS12000000,2020,M07,2020 Jul,143727
LNS12000000,2020,M08,2020 Aug,147176
LNS12000000,2020,M09,2020 Sep,147569
LNS12000000,2020,M10,2020 Oct,149719
LNS12000000,2020,M11,2020 Nov,149761
LNS12000000,2020,M12,2020 Dec,149883
LNS12000000,2021,M01,2021 Jan,150004
LNS12000000,2021,M02,2021 Feb,150367
LNS12000000,2021,M03,2021 Mar,150940
LNS12000000,2021,M04,2021 Apr,151259
LNS12000000,2021,M05,2021 May,151550
LNS12000000,2021,M06,2021 Jun,151612
LNS12000000,2021,M07,2021 Jul,152704
LNS12000000,2021,M08,2021 Aug,153167
LNS12000000,2021,M09,2021 Sep,153806
LNS12000000,2021,M10,2021 Oct,154234
LNS12000000,2021,M11,2021 Nov,155324
LNS12000000,2021,M12,2021 Dec,155975
LNS12000000,2022,M01,2022 Jan,157174
