Series ID,Year,Period,Label,Value
EIUIQ,2012,M01,2012 Jan,132.5
EIUIQ,2012,M02,2012 Feb,133.1
EIUIQ,2012,M03,2012 Mar,134.1
EIUIQ,2012,M04,2012 Apr,134.7
EIUIQ,2012,M05,2012 May,134.0
EIUIQ,2012,M06,2012 Jun,131.7
EIUIQ,2012,M07,2012 Jul,132.2
EIUIQ,2012,M08,2012 Aug,133.4
EIUIQ,2012,M09,2012 Sep,134.5
EIUIQ,2012,M10,2012 Oct,134.6
EIUIQ,2012,M11,2012 Nov,133.8
EIUIQ,2012,M12,2012 Dec,133.6
EIUIQ,2013,M01,2013 Jan,134.1
EIUIQ,2013,M02,2013 Feb,135.1
EIUIQ,2013,M03,2013 Mar,134.4
EIUIQ,2013,M04,2013 Apr,133.6
EIUIQ,2013,M05,2013 May,132.9
EIUIQ,2013,M06,2013 Jun,132.8
EIUIQ,2013,M07,2013 Jul,132.6
EIUIQ,2013,M08,2013 Aug,131.9
EIUIQ,2013,M09,2013 Sep,132.4
EIUIQ,2013,M10,2013 Oct,131.6
EIUIQ,2013,M11,2013 Nov,131.8
EIUIQ,2013,M12,2013 Dec,132.3
EIUIQ,2014,M01,2014 Jan,132.7
EIUIQ,2014,M02,2014 Feb,133.7
EIUIQ,2014,M03,2014 Mar,134.9
EIUIQ,2014,M04,2014 Apr,133.5
EIUIQ,2014,M05,2014 May,133.7
EIUIQ,2014,M06,2014 Jun,133.0
EIUIQ,2014,M07,2014 Jul,133.1
EIUIQ,2014,M08,2014 Aug,132.4
EIUIQ,2014,M09,2014 Sep,131.9
EIUIQ,2014,M10,2014 Oct,130.7
EIUIQ,2014,M11,2014 Nov,129.5
EIUIQ,2014,M12,2014 Dec,128.3
EIUIQ,2015,M01,2015 Jan,126.1
EIUIQ,2015,M02,2015 Feb,125.9
EIUIQ,2015,M03,2015 Mar,125.9
EIUIQ,2015,M04,2015 Apr,125.1
EIUIQ,2015,M05,2015 May,125.7
EIUIQ,2015,M06,2015 Jun,125.3
EIUIQ,2015,M07,2015 Jul,124.8
EIUIQ,2015,M08,2015 Aug,123.0
EIUIQ,2015,M09,2015 Sep,122.3
EIUIQ,2015,M10,2015 Oct,122.0
EIUIQ,2015,M11,2015 Nov,121.1
EIUIQ,2015,M12,2015 Dec,119.8
EIUIQ,2016,M01,2016 Jan,118.7
EIUIQ,2016,M02,2016 Feb,118.2
EIUIQ,2016,M03,2016 Mar,118.1
EIUIQ,2016,M04,2016 Apr,118.7
EIUIQ,2016,M05,2016 May,120.0
EIUIQ,2016,M06,2016 Jun,120.9
EIUIQ,2016,M07,2016 Jul,121.1
EIUIQ,2016,M08,2016 Aug,120.1
