Series ID,Year,Period,Label,Value
LEU0208187000,1979,A01,1979 Annual,19.30
LEU0208187000,1980,A01,1980 Annual,18.71
LEU0208187000,1981,A01,1981 Annual,18.38
LEU0208187000,1982,A01,1982 Annual,18.04
LEU0208187000,1983,A01,1983 Annual,17.54
LEU0208187000,1984,A01,1984 Annual,17.29
LEU0208187000,1985,A01,1985 Annual,17.43
LEU0208187000,1986,A01,1986 Annual,17.60
LEU0208187000,1987,A01,1987 Annual,17.31
LEU0208187000,1988,A01,1988 Annual,17.00
LEU0208187000,1989,A01,1989 Annual,16.73
LEU0208187000,1990,A01,1990 Annual,16.47
LEU0208187000,1991,A01,1991 Annual,16.39
LEU0208187000,1992,A01,1992 Annual,16.13
LEU0208187000,1993,A01,1993 Annual,16.05
LEU0208187000,1994,A01,1994 Annual,15.96
LEU0208187000,1995,A01,1995 Annual,16.28
LEU0208187000,1996,A01,1996 Annual,16.13
LEU0208187000,1997,A01,1997 Annual,16.06
LEU0208187000,1998,A01,1998 Annual,16.21
LEU0208187000,1999,A01,1999 Annual,16.53
LEU0208187000,2000,A01,2000 Annual,16.52
LEU0208187000,2001,A01,2001 Annual,17.02
LEU0208187000,2002,A01,2002 Annual,17.11
LEU0208187000,2003,A01,2003 Annual,16.97
LEU0208187000,2004,A01,2004 Annual,16.70
LEU0208187000,2005,A01,2005 Annual,16.56
LEU0208187000,2006,A01,2006 Annual,16.58
LEU0208187000,2007,A01,2007 Annual,16.55
LEU0208187000,2008,A01,2008 Annual,16.69
LEU0208187000,2009,A01,2009 Annual,16.87
LEU0208187000,2010,A01,2010 Annual,16.61
LEU0208187000,2011,A01,2011 Annual,16.17
LEU0208187000,2012,A01,2012 Annual,16.01
LEU0208187000,2013,A01,2013 Annual,15.86
LEU0208187000,2014,A01,2014 Annual,16.26
LEU0208187000,2015,A01,2015 Annual,16.32
LEU0208187000,2016,A01,2016 Annual,16.32
LEU0208187000,2017,A01,2017 Annual,16.67
LEU0208187000,2018,A01,2018 Annual,17.04
LEU0208187000,2019,A01,2019 Annual,17.31
LEU0208187000,2020,A01,2020 Annual,17.98
