Series ID,Year,Period,Label,Value
WPSFD4,2012,M01,2012 Jan,106.9
WPSFD4,2012,M02,2012 Feb,107.2
WPSFD4,2012,M03,2012 Mar,107.4
WPSFD4,2012,M04,2012 Apr,107.7
WPSFD4,2012,M05,2012 May,107.6
WPSFD4,2012,M06,2012 Jun,107.3
WPSFD4,2012,M07,2012 Jul,107.2
WPSFD4,2012,M08,2012 Aug,107.5
WPSFD4,2012,M09,2012 Sep,108.2
WPSFD4,2012,M10,2012 Oct,108.3
WPSFD4,2012,M11,2012 Nov,108.4
WPSFD4,2012,M12,2012 Dec,108.4
WPSFD4,2013,M01,2013 Jan,108.7
WPSFD4,2013,M02,2013 Feb,108.9
WPSFD4,2013,M03,2013 Mar,108.9
WPSFD4,2013,M04,2013 Apr,108.7
WPSFD4,2013,M05,2013 May,108.6
WPSFD4,2013,M06,2013 Jun,109.0
WPSFD4,2013,M07,2013 Jul,109.2
WPSFD4,2013,M08,2013 Aug,109.3
WPSFD4,2013,M09,2013 Sep,109.3
WPSFD4,2013,M10,2013 Oct,109.5
WPSFD4,2013,M11,2013 Nov,109.7
WPSFD4,2013,M12,2013 Dec,109.8
WPSFD4,2014,M01,2014 Jan,110.1
WPSFD4,2014,M02,2014 Feb,110.3
WPSFD4,2014,M03,2014 Mar,110.7
WPSFD4,2014,M04,2014 Apr,110.8
WPSFD4,2014,M05,2014 May,111.0
WPSFD4,2014,M06,2014 Jun,110.9
WPSFD4,2014,M07,2014 Jul,111.3
WPSFD4,2014,M08,2014 Aug,111.3
WPSFD4,2014,M09,2014 Sep,111.1
WPSFD4,2014,M10,2014 Oct,111.3
WPSFD4,2014,M11,2014 Nov,111.1
WPSFD4,2014,M12,2014 Dec,110.8
WPSFD4,2015,M01,2015 Jan,110.1
WPSFD4,2015,M02,2015 Feb,109.6
WPSFD4,2015,M03,2015 Mar,109.8
WPSFD4,2015,M04,2015 Apr,109.6
WPSFD4,2015,M05,2015 May,110.0
WPSFD4,2015,M06,2015 Jun,110.3
WPSFD4,2015,M07,2015 Jul,110.5
WPSFD4,2015,M08,2015 Aug,110.3
WPSFD4,2015,M09,2015 Sep,109.9
WPSFD4,2015,M10,2015 Oct,109.6
WPSFD4,2015,M11,2015 Nov,109.7
WPSFD4,2015,M12,2015 Dec,109.6
WPSFD4,2016,M01,2016 Jan,110.0
WPSFD4,2016,M02,2016 Feb,109.7
WPSFD4,2016,M03,2016 Mar,109.7
WPSFD4,2016,M04,2016 Apr,109.9
WPSFD4,2016,M05,2016 May,110.1
WPSFD4,2016,M06,2016 Jun,110.6
WPSFD4,2016,M07,2016 Jul,110.5
WPSFD4,2016,M08,2016 Aug,110.3
WPSFD4,2016,M09,2016 Sep,110.6
WPSFD4,2016,M10,2016 Oct,110.9
WPSFD4,2016,M11,2016 Nov,111.1
WPSFD4,2016,M12,2016 Dec,111.4
WPSFD4,2017,M01,2017 Jan,111.9
WPSFD4,2017,M02,2017 Feb,111.9
WPSFD4,2017,M03,2017 Mar,112.1
WPSFD4,2017,M04,2017 Apr,112.6
WPSFD4,2017,M05,2017 May,112.5
WPSFD4,2017,M06,2017 Jun,112.6
WPSFD4,2017,M07,2017 Jul,112.7
WPSFD4,2017,M08,2017 Aug,113.1
WPSFD4,2017,M09,2017 Sep,113.5
WPSFD4,2017,M10,2017 Oct,113.9
WPSFD4,2017,M11,2017 Nov,114.3
WPSFD4,2017,M12,2017 Dec,114.4
WPSFD4,2018,M01,2018 Jan,114.8
WPSFD4,2018,M02,2018 Feb,115.1
WPSFD4,2018,M03,2018 Mar,115.4
WPSFD4,2018,M04,2018 Apr,115.5
WPSFD4,2018,M05,2018 May,115.9
WPSFD4,2018,M06,2018 Jun,116.3
WPSFD4,2018,M07,2018 Jul,116.4
WPSFD4,2018,M08,2018 Aug,116.5
WPSFD4,2018,M09,2018 Sep,116.7
WPSFD4,2018,M10,2018 Oct,117.5
WPSFD4,2018,M11,2018 Nov,117.3
WPSFD4,2018,M12,2018 Dec,117.3
WPSFD4,2019,M01,2019 Jan,117.0
WPSFD4,2019,M02,2019 Feb,117.3
WPSFD4,2019,M03,2019 Mar,117.7
WPSFD4,2019,M04,2019 Apr,118.3
WPSFD4,2019,M05,2019 May,118.4
WPSFD4,2019,M06,2019 Jun,118.2
WPSFD4,2019,M07,2019 Jul,118.4
WPSFD4,2019,M08,2019 Aug,118.6
WPSFD4,2019,M09,2019 Sep,118.3
WPSFD4,2019,M10,2019 Oct,118.7
WPSFD4,2019,M11,2019 Nov,118.5
WPSFD4,2019,M12,2019 Dec,118.9
WPSFD4,2020,M01,2020 Jan,119.3
WPSFD4,2020,M02,2020 Feb,118.6
WPSFD4,2020,M03,2020 Mar,118.1
WPSFD4,2020,M04,2020 Apr,116.6
WPSFD4,2020,M05,2020 May,117.2
WPSFD4,2020,M06,2020 Jun,117.5
WPSFD4,2020,M07,2020 Jul,118.2
WPSFD4,2020,M08,2020 Aug,118.4
WPSFD4,2020,M09,2020 Sep,118.7
WPSFD4,2020,M10,2020 Oct,119.4
WPSFD4,2020,M11,2020 Nov,119.4
WPSFD4,2020,M12,2020 Dec,119.8
WPSFD4,2021,M01,2021 Jan,121.2
WPSFD4,2021,M02,2021 Feb,122.1
WPSFD4,2021,M03,2021 Mar,122.9
WPSFD4,2021,M04,2021 Apr,124.1
WPSFD4,2021,M05,2021 May,125.3
WPSFD4,2021,M06,2021 Jun,126.3
WPSFD4,2021,M07,2021 Jul,127.459
WPSFD4,2021,M08,2021 Aug,128.564
WPSFD4,2021,M09,2021 Sep,129.167
WPSFD4,2021,M10,2021 Oct,130.039
WPSFD4,2021,M11,2021 Nov,131.207
WPSFD4,2021,M12,2021 Dec,131.779
WPSFD4,2022,M01,2022 Jan,133.033
WPSFD49207,2012,M01,2012 Jan,193.4
WPSFD49207,2012,M02,2012 Feb,193.9
WPSFD49207,2012,M03,2012 Mar,194.1
WPSFD49207,2012,M04,2012 Apr,194.0
WPSFD49207,2012,M05,2012 May,192.9
WPSFD49207,2012,M06,2012 Jun,192.1
WPSFD49207,2012,M07,2012 Jul,192.4
WPSFD49207,2012,M08,2012 Aug,194.7
WPSFD49207,2012,M09,2012 Sep,196.5
WPSFD49207,2012,M10,2012 Oct,196.7
WPSFD49207,2012,M11,2012 Nov,195.7
WPSFD49207,2012,M12,2012 Dec,195.3
WPSFD49207,2013,M01,2013 Jan,196.4
WPSFD49207,2013,M02,2013 Feb,197.6
WPSFD49207,2013,M03,2013 Mar,196.5
WPSFD49207,2013,M04,2013 Apr,195.3
WPSFD49207,2013,M05,2013 May,196.1
WPSFD49207,2013,M06,2013 Jun,196.2
WPSFD49207,2013,M07,2013 Jul,196.0
WPSFD49207,2013,M08,2013 Aug,197.0
WPSFD49207,2013,M09,2013 Sep,196.5
WPSFD49207,2013,M10,2013 Oct,196.9
WPSFD49207,2013,M11,2013 Nov,197.5
WPSFD49207,2013,M12,2013 Dec,198.3
WPSFD49207,2014,M01,2014 Jan,199.8
WPSFD49207,2014,M02,2014 Feb,200.2
WPSFD49207,2014,M03,2014 Mar,200.8
WPSFD49207,2014,M04,2014 Apr,201.7
WPSFD49207,2014,M05,2014 May,201.0
WPSFD49207,2014,M06,2014 Jun,201.5
WPSFD49207,2014,M07,2014 Jul,201.5
WPSFD49207,2014,M08,2014 Aug,201.4
WPSFD49207,2014,M09,2014 Sep,200.8
WPSFD49207,2014,M10,2014 Oct,200.2
WPSFD49207,2014,M11,2014 Nov,199.5
WPSFD49207,2014,M12,2014 Dec,196.8
WPSFD49207,2015,M01,2015 Jan,193.3
WPSFD49207,2015,M02,2015 Feb,193.5
WPSFD49207,2015,M03,2015 Mar,194.2
WPSFD49207,2015,M04,2015 Apr,192.9
WPSFD49207,2015,M05,2015 May,195.1
WPSFD49207,2015,M06,2015 Jun,196.2
WPSFD49207,2015,M07,2015 Jul,196.0
WPSFD49207,2015,M08,2015 Aug,195.3
WPSFD49207,2015,M09,2015 Sep,192.9
WPSFD49207,2015,M10,2015 Oct,192.4
WPSFD49207,2015,M11,2015 Nov,192.6
WPSFD49207,2015,M12,2015 Dec,191.3
WPSFD49207,2016,M01,2016 Jan,190.8
WPSFD49207,2016,M02,2016 Feb,189.4
WPSFD49207,2016,M03,2016 Mar,189.8
WPSFD49207,2016,M04,2016 Apr,190.4
WPSFD49207,2016,M05,2016 May,191.1
WPSFD49207,2016,M06,2016 Jun,192.4
WPSFD49207,2016,M07,2016 Jul,192.4
WPSFD49207,2016,M08,2016 Aug,191.8
WPSFD49207,2016,M09,2016 Sep,192.6
WPSFD49207,2016,M10,2016 Oct,193.7
WPSFD49207,2016,M11,2016 Nov,193.3
WPSFD49207,2016,M12,2016 Dec,195.0
WPSFD49207,2017,M01,2017 Jan,196.6
WPSFD49207,2017,M02,2017 Feb,197.2
WPSFD49207,2017,M03,2017 Mar,197.1
WPSFD49207,2017,M04,2017 Apr,198.1
WPSFD49207,2017,M05,2017 May,196.1
WPSFD49207,2017,M06,2017 Jun,196.2
WPSFD49207,2017,M07,2017 Jul,196.3
WPSFD49207,2017,M08,2017 Aug,197.4
WPSFD49207,2017,M09,2017 Sep,199.0
WPSFD49207,2017,M10,2017 Oct,199.6
WPSFD49207,2017,M11,2017 Nov,201.3
WPSFD49207,2017,M12,2017 Dec,201.8
WPSFD49207,2018,M01,2018 Jan,202.2
WPSFD49207,2018,M02,2018 Feb,202.8
WPSFD49207,2018,M03,2018 Mar,202.9
WPSFD49207,2018,M04,2018 Apr,202.8
WPSFD49207,2018,M05,2018 May,203.7
WPSFD49207,2018,M06,2018 Jun,204.0
WPSFD49207,2018,M07,2018 Jul,204.4
WPSFD49207,2018,M08,2018 Aug,204.7
WPSFD49207,2018,M09,2018 Sep,205.2
WPSFD49207,2018,M10,2018 Oct,207.0
WPSFD49207,2018,M11,2018 Nov,205.1
WPSFD49207,2018,M12,2018 Dec,204.2
WPSFD49207,2019,M01,2019 Jan,202.7
