Series ID,Year,Period,Label,Value
EIUIR,2012,M01,2012 Jan,142.2
EIUIR,2012,M02,2012 Feb,142.2
EIUIR,2012,M03,2012 Mar,144.2
EIUIR,2012,M04,2012 Apr,144.1
EIUIR,2012,M05,2012 May,142.0
EIUIR,2012,M06,2012 Jun,138.7
EIUIR,2012,M07,2012 Jul,137.7
EIUIR,2012,M08,2012 Aug,139.4
EIUIR,2012,M09,2012 Sep,140.8
EIUIR,2012,M10,2012 Oct,141.2
EIUIR,2012,M11,2012 Nov,140.2
EIUIR,2012,M12,2012 Dec,139.4
EIUIR,2013,M01,2013 Jan,140.1
EIUIR,2013,M02,2013 Feb,141.3
EIUIR,2013,M03,2013 Mar,141.2
EIUIR,2013,M04,2013 Apr,140.2
EIUIR,2013,M05,2013 May,139.4
EIUIR,2013,M06,2013 Jun,138.8
EIUIR,2013,M07,2013 Jul,138.9
EIUIR,2013,M08,2013 Aug,139.4
EIUIR,2013,M09,2013 Sep,139.8
EIUIR,2013,M10,2013 Oct,138.9
EIUIR,2013,M11,2013 Nov,137.7
EIUIR,2013,M12,2013 Dec,137.8
EIUIR,2014,M01,2014 Jan,138.3
EIUIR,2014,M02,2014 Feb,139.8
EIUIR,2014,M03,2014 Mar,140.5
EIUIR,2014,M04,2014 Apr,139.7
EIUIR,2014,M05,2014 May,140.1
EIUIR,2014,M06,2014 Jun,140.5
EIUIR,2014,M07,2014 Jul,140.1
EIUIR,2014,M08,2014 Aug,139.0
EIUIR,2014,M09,2014 Sep,137.9
EIUIR,2014,M10,2014 Oct,136.0
EIUIR,2014,M11,2014 Nov,133.5
EIUIR,2014,M12,2014 Dec,130.1
EIUIR,2015,M01,2015 Jan,126.0
EIUIR,2015,M02,2015 Feb,125.5
EIUIR,2015,M03,2015 Mar,125.3
EIUIR,2015,M04,2015 Apr,125.1
EIUIR,2015,M05,2015 May,126.5
EIUIR,2015,M06,2015 Jun,126.6
EIUIR,2015,M07,2015 Jul,125.4
EIUIR,2015,M08,2015 Aug,123.2
EIUIR,2015,M09,2015 Sep,121.9
EIUIR,2015,M10,2015 Oct,121.5
EIUIR,2015,M11,2015 Nov,120.8
EIUIR,2015,M12,2015 Dec,119.3
EIUIR,2016,M01,2016 Jan,117.8
EIUIR,2016,M02,2016 Feb,117.2
EIUIR,2016,M03,2016 Mar,117.7
EIUIR,2016,M04,2016 Apr,118.5
EIUIR,2016,M05,2016 May,119.9
EIUIR,2016,M06,2016 Jun,120.7
EIUIR,2016,M07,2016 Jul,120.8
EIUIR,2016,M08,2016 Aug,120.5
EIUIR,2016,M09,2016 Sep,120.6
EIUIR,2016,M10,2016 Oct,121.2
EIUIR,2016,M11,2016 Nov,121.1
EIUIR,2016,M12,2016 Dec,121.6
EIUIR,2017,M01,2017 Jan,122.3
EIUIR,2017,M02,2017 Feb,122.7
EIUIR,2017,M03,2017 Mar,122.5
EIUIR,2017,M04,2017 Apr,122.8
EIUIR,2017,M05,2017 May,122.7
EIUIR,2017,M06,2017 Jun,122.4
EIUIR,2017,M07,2017 Jul,122.2
EIUIR,2017,M08,2017 Aug,122.9
EIUIR,2017,M09,2017 Sep,123.9
EIUIR,2017,M10,2017 Oct,124.1
EIUIR,2017,M11,2017 Nov,125.3
EIUIR,2017,M12,2017 Dec,125.5
EIUIR,2018,M01,2018 Jan,126.5
EIUIR,2018,M02,2018 Feb,126.8
EIUIR,2018,M03,2018 Mar,126.5
EIUIR,2018,M04,2018 Apr,127.1
EIUIR,2018,M05,2018 May,128.2
EIUIR,2018,M06,2018 Jun,128.2
EIUIR,2018,M07,2018 Jul,128.1
EIUIR,2018,M08,2018 Aug,127.6
EIUIR,2018,M09,2018 Sep,127.7
EIUIR,2018,M10,2018 Oct,128.3
EIUIR,2018,M11,2018 Nov,126.2
EIUIR,2018,M12,2018 Dec,124.4
EIUIR,2019,M01,2019 Jan,124.6
EIUIR,2019,M02,2019 Feb,125.9
EIUIR,2019,M03,2019 Mar,126.6
EIUIR,2019,M04,2019 Apr,126.8
EIUIR,2019,M05,2019 May,127.0
EIUIR,2019,M06,2019 Jun,125.6
EIUIR,2019,M07,2019 Jul,125.6
EIUIR,2019,M08,2019 Aug,124.9
EIUIR,2019,M09,2019 Sep,125.0
EIUIR,2019,M10,2019 Oct,124.5
EIUIR,2019,M11,2019 Nov,124.7
EIUIR,2019,M12,2019 Dec,125.0
EIUIR,2020,M01,2020 Jan,125.2
EIUIR,2020,M02,2020 Feb,124.3
EIUIR,2020,M03,2020 Mar,121.3
EIUIR,2020,M04,2020 Apr,118.2
EIUIR,2020,M05,2020 May,119.0
EIUIR,2020,M06,2020 Jun,120.6
EIUIR,2020,M07,2020 Jul,122.1
EIUIR,2020,M08,2020 Aug,123.2
EIUIR,2020,M09,2020 Sep,123.4
EIUIR,2020,M10,2020 Oct,123.3
EIUIR,2020,M11,2020 Nov,123.4
EIUIR,2020,M12,2020 Dec,124.6
EIUIR,2021,M01,2021 Jan,126.5
EIUIR,2021,M02,2021 Feb,128.0
EIUIR,2021,M03,2021 Mar,129.9
EIUIR,2021,M04,2021 Apr,131.1
EIUIR,2021,M05,2021 May,132.8
EIUIR,2021,M06,2021 Jun,134.2
EIUIR,2021,M07,2021 Jul,134.6
EIUIR,2021,M08,2021 Aug,134.3
EIUIR,2021,M09,2021 Sep,134.9
EIUIR,2021,M10,2021 Oct,136.9
EIUIR,2021,M11,2021 Nov,137.9
EIUIR,2021,M12,2021 Dec,137.3
EIUIR,2022,M01,2022 Jan,140.1
