Series ID,Year,Period,Label,Value
LNS16000000,2010,M01,2010 Jan,131255
LNS16000000,2010,M02,2010 Feb,130945
LNS16000000,2010,M03,2010 Mar,131491
LNS16000000,2010,M04,2010 Apr,132048
LNS16000000,2010,M05,2010 May,132149
LNS16000000,2010,M06,2010 Jun,132105
LNS16000000,2010,M07,2010 Jul,131855
LNS16000000,2010,M08,2010 Aug,132274
LNS16000000,2010,M09,2010 Sep,132119
LNS16000000,2010,M10,2010 Oct,131742
LNS16000000,2010,M11,2010 Nov,131830
LNS16000000,2010,M12,2010 Dec,132205
LNS16000000,2011,M01,2011 Jan,131744
LNS16000000,2011,M02,2011 Feb,131811
LNS16000000,2011,M03,2011 Mar,132286
LNS16000000,2011,M04,2011 Apr,132696
LNS16000000,2011,M05,2011 May,132606
LNS16000000,2011,M06,2011 Jun,132423
LNS16000000,2011,M07,2011 Jul,132439
LNS16000000,2011,M08,2011 Aug,132726
LNS16000000,2011,M09,2011 Sep,133517
LNS16000000,2011,M10,2011 Oct,133381
LNS16000000,2011,M11,2011 Nov,133895
LNS16000000,2011,M12,2011 Dec,134052
LNS16000000,2012,M01,2012 Jan,134669
LNS16000000,2012,M02,2012 Feb,135135
LNS16000000,2012,M03,2012 Mar,135120
LNS16000000,2012,M04,2012 Apr,134817
LNS16000000,2012,M05,2012 May,135154
LNS16000000,2012,M06,2012 Jun,134860
LNS16000000,2012,M07,2012 Jul,134838
LNS16000000,2012,M08,2012 Aug,135170
LNS16000000,2012,M09,2012 Sep,135651
LNS16000000,2012,M10,2012 Oct,136338
LNS16000000,2012,M11,2012 Nov,135956
LNS16000000,2012,M12,2012 Dec,136329
LNS16000000,2013,M01,2013 Jan,135985
LNS16000000,2013,M02,2013 Feb,136769
LNS16000000,2013,M03,2013 Mar,136785
LNS16000000,2013,M04,2013 Apr,137068
LNS16000000,2013,M05,2013 May,137263
LNS16000000,2013,M06,2013 Jun,137355
LNS16000000,2013,M07,2013 Jul,137204
LNS16000000,2013,M08,2013 Aug,137648
LNS16000000,2013,M09,2013 Sep,137600
LNS16000000,2013,M10,2013 Oct,136831
LNS16000000,2013,M11,2013 Nov,137467
LNS16000000,2013,M12,2013 Dec,137496
LNS16000000,2014,M01,2014 Jan,138102
LNS16000000,2014,M02,2014 Feb,137968
LNS16000000,2014,M03,2014 Mar,138512
LNS16000000,2014,M04,2014 Apr,138899
LNS16000000,2014,M05,2014 May,139501
LNS16000000,2014,M06,2014 Jun,139731
LNS16000000,2014,M07,2014 Jul,139486
LNS16000000,2014,M08,2014 Aug,139610
LNS16000000,2014,M09,2014 Sep,139699
LNS16000000,2014,M10,2014 Oct,140506
LNS16000000,2014,M11,2014 Nov,140278
LNS16000000,2014,M12,2014 Dec,140498
LNS16000000,2015,M01,2015 Jan,141268
LNS16000000,2015,M02,2015 Feb,141104
LNS16000000,2015,M03,2015 Mar,140740
LNS16000000,2015,M04,2015 Apr,141076
LNS16000000,2015,M05,2015 May,141310
LNS16000000,2015,M06,2015 Jun,141761
LNS16000000,2015,M07,2015 Jul,141692
LNS16000000,2015,M08,2015 Aug,141895
LNS16000000,2015,M09,2015 Sep,142133
LNS16000000,2015,M10,2015 Oct,142363
LNS16000000,2015,M11,2015 Nov,142732
LNS16000000,2015,M12,2015 Dec,143566
LNS16000000,2016,M01,2016 Jan,143844
LNS16000000,2016,M02,2016 Feb,143849
LNS16000000,2016,M03,2016 Mar,144017
LNS16000000,2016,M04,2016 Apr,143806
LNS16000000,2016,M05,2016 May,143810
LNS16000000,2016,M06,2016 Jun,143728
LNS16000000,2016,M07,2016 Jul,144650
LNS16000000,2016,M08,2016 Aug,144692
LNS16000000,2016,M09,2016 Sep,145363
LNS16000000,2016,M10,2016 Oct,145270
LNS16000000,2016,M11,2016 Nov,145708
LNS16000000,2016,M12,2016 Dec,145359
LNS16000000,2017,M01,2017 Jan,145314
LNS16000000,2017,M02,2017 Feb,145565
LNS16000000,2017,M03,2017 Mar,146157
LNS16000000,2017,M04,2017 Apr,146084
LNS16000000,2017,M05,2017 May,146546
LNS16000000,2017,M06,2017 Jun,146406
LNS16000000,2017,M07,2017 Jul,146923
LNS16000000,2017,M08,2017 Aug,146542
LNS16000000,2017,M09,2017 Sep,146719
LNS16000000,2017,M10,2017 Oct,146563
LNS16000000,2017,M11,2017 Nov,146828
LNS16000000,2017,M12,2017 Dec,146953
LNS16000000,2018,M01,2018 Jan,147185
LNS16000000,2018,M02,2018 Feb,148362
LNS16000000,2018,M03,2018 Mar,147789
LNS16000000,2018,M04,2018 Apr,148369
LNS16000000,2018,M05,2018 May,148491
LNS16000000,2018,M06,2018 Jun,148942
LNS16000000,2018,M07,2018 Jul,149399
LNS16000000,2018,M08,2018 Aug,149042
LNS16000000,2018,M09,2018 Sep,148869
LNS16000000,2018,M10,2018 Oct,149484
LNS16000000,2018,M11,2018 Nov,149347
LNS16000000,2018,M12,2018 Dec,149513
LNS16000000,2019,M01,2019 Jan,149348
LNS16000000,2019,M02,2019 Feb,149964
LNS16000000,2019,M03,2019 Mar,150208
LNS16000000,2019,M04,2019 Apr,150371
LNS16000000,2019,M05,2019 May,150330
LNS16000000,2019,M06,2019 Jun,150922
LNS16000000,2019,M07,2019 Jul,150981
LNS16000000,2019,M08,2019 Aug,151873
LNS16000000,2019,M09,2019 Sep,152099
LNS16000000,2019,M10,2019 Oct,152044
LNS16000000,2019,M11,2019 Nov,151990
LNS16000000,2019,M12,2019 Dec,151812
LNS16000000,2020,M01,2020 Jan,152172
LNS16000000,2020,M02,2020 Feb,152215
LNS16000000,2020,M03,2020 Mar,147376
LNS16000000,2020,M04,2020 Apr,121407
LNS16000000,2020,M05,2020 May,126821
LNS16000000,2020,M06,2020 Jun,134443
LNS16000000,2020,M07,2020 Jul,136667
LNS16000000,2020,M08,2020 Aug,139867
LNS16000000,2020,M09,2020 Sep,139632
LNS16000000,2020,M10,2020 Oct,141953
LNS16000000,2020,M11,2020 Nov,141727
LNS16000000,2020,M12,2020 Dec,141174
LNS16000000,2021,M01,2021 Jan,141734
LNS16000000,2021,M02,2021 Feb,142025
LNS16000000,2021,M03,2021 Mar,143044
LNS16000000,2021,M04,2021 Apr,143246
LNS16000000,2021,M05,2021 May,143770
LNS16000000,2021,M06,2021 Jun,144472
LNS16000000,2021,M07,2021 Jul,144947
LNS16000000,2021,M08,2021 Aug,145103
LNS16000000,2021,M09,2021 Sep,145618
LNS16000000,2021,M10,2021 Oct,146027
LNS16000000,2021,M11,2021 Nov,147615
LNS16000000,2021,M12,2021 Dec,147916
LNS16000000,2022,M01,2022 Jan,148429
