Series ID,Year,Period,Label,Value
CUUR0000SA0,2010,M01,2010 Jan,216.687
CUUR0000SA0,2010,M02,2010 Feb,216.741
CUUR0000SA0,2010,M03,2010 Mar,217.631
CUUR0000SA0,2010,M04,2010 Apr,218.009
CUUR0000SA0,2010,M05,2010 May,218.178
CUUR0000SA0,2010,M06,2010 Jun,217.965
CUUR0000SA0,2010,M07,2010 Jul,218.011
CUUR0000SA0,2010,M08,2010 Aug,218.312
CUUR0000SA0,2010,M09,2010 Sep,218.439
CUUR0000SA0,2010,M10,2010 Oct,218.711
CUUR0000SA0,2010,M11,2010 Nov,218.803
CUUR0000SA0,2010,M12,2010 Dec,219.179
CUUR0000SA0,2011,M01,2011 Jan,220.223
CUUR0000SA0,2011,M02,2011 Feb,221.309
CUUR0000SA0,2011,M03,2011 Mar,223.467
CUUR0000SA0,2011,M04,2011 Apr,224.906
CUUR0000SA0,2011,M05,2011 May,225.964
CUUR0000SA0,2011,M06,2011 Jun,225.722
CUUR0000SA0,2011,M07,2011 Jul,225.922
CUUR0000SA0,2011,M08,2011 Aug,226.545
CUUR0000SA0,2011,M09,2011 Sep,226.889
CUUR0000SA0,2011,M10,2011 Oct,226.421
CUUR0000SA0,2011,M11,2011 Nov,226.230
CUUR0000SA0,2011,M12,2011 Dec,225.672
CUUR0000SA0,2012,M01,2012 Jan,226.665
CUUR0000SA0,2012,M02,2012 Feb,227.663
CUUR0000SA0,2012,M03,2012 Mar,229.392
CUUR0000SA0,2012,M04,2012 Apr,230.085
CUUR0000SA0,2012,M05,2012 May,229.815
CUUR0000SA0,2012,M06,2012 Jun,229.478
CUUR0000SA0,2012,M07,2012 Jul,229.104
CUUR0000SA0,2012,M08,2012 Aug,230.379
CUUR0000SA0,2012,M09,2012 Sep,231.407
CUUR0000SA0,2012,M10,2012 Oct,231.317
CUUR0000SA0,2012,M11,2012 Nov,230.221
CUUR0000SA0,2012,M12,2012 Dec,229.601
CUUR0000SA0,2013,M01,2013 Jan,230.280
CUUR0000SA0,2013,M02,2013 Feb,232.166
CUUR0000SA0,2013,M03,2013 Mar,232.773
CUUR0000SA0,2013,M04,2013 Apr,232.531
CUUR0000SA0,2013,M05,2013 May,232.945
CUUR0000SA0,2013,M06,2013 Jun,233.504
CUUR0000SA0,2013,M07,2013 Jul,233.596
CUUR0000SA0,2013,M08,2013 Aug,233.877
