Series ID,Year,Period,Label,Value
CUUR0000SA0,2012,M01,2012 Jan,226.665
CUUR0000SA0,2012,M02,2012 Feb,227.663
CUUR0000SA0,2012,M03,2012 Mar,229.392
CUUR0000SA0,2012,M04,2012 Apr,230.085
CUUR0000SA0,2012,M05,2012 May,229.815
CUUR0000SA0,2012,M06,2012 Jun,229.478
CUUR0000SA0,2012,M07,2012 Jul,229.104
CUUR0000SA0,2012,M08,2012 Aug,230.379
CUUR0000SA0,2012,M09,2012 Sep,231.407
CUUR0000SA0,2012,M10,2012 Oct,231.317
CUUR0000SA0,2012,M11,2012 Nov,230.221
CUUR0000SA0,2012,M12,2012 Dec,229.601
CUUR0000SA0,2013,M01,2013 Jan,230.280
CUUR0000SA0,2013,M02,2013 Feb,232.166
CUUR0000SA0,2013,M03,2013 Mar,232.773
CUUR0000SA0,2013,M04,2013 Apr,232.531
CUUR0000SA0,2013,M05,2013 May,232.945
CUUR0000SA0,2013,M06,2013 Jun,233.504
CUUR0000SA0,2013,M07,2013 Jul,233.596
CUUR0000SA0,2013,M08,2013 Aug,233.877
CUUR0000SA0,2013,M09,2013 Sep,234.149
CUUR0000SA0,2013,M10,2013 Oct,233.546
CUUR0000SA0,2013,M11,2013 Nov,233.069
CUUR0000SA0,2013,M12,2013 Dec,233.049
CUUR0000SA0,2014,M01,2014 Jan,233.916
CUUR0000SA0,2014,M02,2014 Feb,234.781
CUUR0000SA0,2014,M03,2014 Mar,236.293
CUUR0000SA0,2014,M04,2014 Apr,237.072
CUUR0000SA0,2014,M05,2014 May,237.900
CUUR0000SA0,2014,M06,2014 Jun,238.343
CUUR0000SA0,2014,M07,2014 Jul,238.250
CUUR0000SA0,2014,M08,2014 Aug,237.852
CUUR0000SA0,2014,M09,2014 Sep,238.031
CUUR0000SA0,2014,M10,2014 Oct,237.433
CUUR0000SA0,2014,M11,2014 Nov,236.151
CUUR0000SA0,2014,M12,2014 Dec,234.812
CUUR0000SA0,2015,M01,2015 Jan,233.707
CUUR0000SA0,2015,M02,2015 Feb,234.722
CUUR0000SA0,2015,M03,2015 Mar,236.119
CUUR0000SA0,2015,M04,2015 Apr,236.599
CUUR0000SA0,2015,M05,2015 May,237.805
CUUR0000SA0,2015,M06,2015 Jun,238.638
CUUR0000SA0,2015,M07,2015 Jul,238.654
CUUR0000SA0,2015,M08,2015 Aug,238.316
CUUR0000SA0,2015,M09,2015 Sep,237.945
CUUR0000SA0,2015,M10,2015 Oct,237.838
CUUR0000SA0,2015,M11,2015 Nov,237.336
CUUR0000SA0,2015,M12,2015 Dec,236.525
CUUR0000SA0,2016,M01,2016 Jan,236.916
CUUR0000SA0,2016,M02,2016 Feb,237.111
CUUR0000SA0,2016,M03,2016 Mar,238.132
CUUR0000SA0,2016,M04,2016 Apr,239.261
CUUR0000SA0,2016,M05,2016 May,240.229
CUUR0000SA0,2016,M06,2016 Jun,241.018
CUUR0000SA0,2016,M07,2016 Jul,240.628
CUUR0000SA0,2016,M08,2016 Aug,240.849
CUUR0000SA0,2016,M09,2016 Sep,241.428
CUUR0000SA0,2016,M10,2016 Oct,241.729
CUUR0000SA0,2016,M11,2016 Nov,241.353
CUUR0000SA0,2016,M12,2016 Dec,241.432
CUUR0000SA0,2017,M01,2017 Jan,242.839
CUUR0000SA0,2017,M02,2017 Feb,243.603
CUUR0000SA0,2017,M03,2017 Mar,243.801
CUUR0000SA0,2017,M04,2017 Apr,244.524
CUUR0000SA0,2017,M05,2017 May,244.733
CUUR0000SA0,2017,M06,2017 Jun,244.955
CUUR0000SA0,2017,M07,2017 Jul,244.786
CUUR0000SA0,2017,M08,2017 Aug,245.519
CUUR0000SA0,2017,M09,2017 Sep,246.819
CUUR0000SA0,2017,M10,2017 Oct,246.663
CUUR0000SA0,2017,M11,2017 Nov,246.669
CUUR0000SA0,2017,M12,2017 Dec,246.524
CUUR0000SA0,2018,M01,2018 Jan,247.867
CUUR0000SA0,2018,M02,2018 Feb,248.991
CUUR0000SA0,2018,M03,2018 Mar,249.554
CUUR0000SA0,2018,M04,2018 Apr,250.546
CUUR0000SA0,2018,M05,2018 May,251.588
CUUR0000SA0,2018,M06,2018 Jun,251.989
CUUR0000SA0,2018,M07,2018 Jul,252.006
CUUR0000SA0,2018,M08,2018 Aug,252.146
CUUR0000SA0,2018,M09,2018 Sep,252.439
CUUR0000SA0,2018,M10,2018 Oct,252.885
CUUR0000SA0,2018,M11,2018 Nov,252.038
CUUR0000SA0,2018,M12,2018 Dec,251.233
CUUR0000SA0,2019,M01,2019 Jan,251.712
CUUR0000SA0,2019,M02,2019 Feb,252.776
CUUR0000SA0,2019,M03,2019 Mar,254.202
CUUR0000SA0,2019,M04,2019 Apr,255.548
CUUR0000SA0,2019,M05,2019 May,256.092
CUUR0000SA0,2019,M06,2019 Jun,256.143
CUUR0000SA0,2019,M07,2019 Jul,256.571
CUUR0000SA0,2019,M08,2019 Aug,256.558
CUUR0000SA0,2019,M09,2019 Sep,256.759
CUUR0000SA0,2019,M10,2019 Oct,257.346
CUUR0000SA0,2019,M11,2019 Nov,257.208
CUUR0000SA0,2019,M12,2019 Dec,256.974
CUUR0000SA0,2020,M01,2020 Jan,257.971
CUUR0000SA0,2020,M02,2020 Feb,258.678
CUUR0000SA0,2020,M03,2020 Mar,258.115
CUUR0000SA0,2020,M04,2020 Apr,256.389
CUUR0000SA0,2020,M05,2020 May,256.394
CUUR0000SA0,2020,M06,2020 Jun,257.797
CUUR0000SA0,2020,M07,2020 Jul,259.101
CUUR0000SA0,2020,M08,2020 Aug,259.918
CUUR0000SA0,2020,M09,2020 Sep,260.280
CUUR0000SA0,2020,M10,2020 Oct,260.388
CUUR0000SA0,2020,M11,2020 Nov,260.229
CUUR0000SA0,2020,M12,2020 Dec,260.474
CUUR0000SA0,2021,M01,2021 Jan,261.582
CUUR0000SA0,2021,M02,2021 Feb,263.014
CUUR0000SA0,2021,M03,2021 Mar,264.877
CUUR0000SA0,2021,M04,2021 Apr,267.054
CUUR0000SA0,2021,M05,2021 May,269.195
CUUR0000SA0,2021,M06,2021 Jun,271.696
CUUR0000SA0,2021,M07,2021 Jul,273.003
CUUR0000SA0,2021,M08,2021 Aug,273.567
CUUR0000SA0,2021,M09,2021 Sep,274.310
CUUR0000SA0,2021,M10,2021 Oct,276.589
CUUR0000SA0,2021,M11,2021 Nov,277.948
CUUR0000SA0,2021,M12,2021 Dec,278.802
CUUR0000SA0,2022,M01,2022 Jan,281.148
