Series ID,Year,Period,Label,Value
CXU900000LB1201M,2010,A01,2010 Annual,49568
CXU900000LB1201M,2011,A01,2011 Annual,49805
CXU900000LB1201M,2012,A01,2012 Annual,51730
CXU900000LB1201M,2013,A01,2013 Annual,50168
CXU900000LB1201M,2014,A01,2014 Annual,51889
CXU900000LB1201M,2015,A01,2015 Annual,54405
CXU900000LB1201M,2016,A01,2016 Annual,57319
CXU900000LB1201M,2017,A01,2017 Annual,57590
CXU900000LB1201M,2018,A01,2018 Annual,61557
CXU900000LB1201M,2019,A01,2019 Annual,64708
CXU900000LB1201M,2020,A01,2020 Annual,65449
