Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,21946,21947,21943,21931,21911,21930,21913,21916,21925,21903,21883,21887
2013,21869,21881,21870,21869,21864,21840,21815,21831,21835,21830,21843,21820
2014,21814,21825,21833,21853,21832,21895,21901,21855,21897,21917,21932,21947
2015,21960,21978,21970,22005,22012,22015,22050,22060,22040,22056,22081,22097
2016,22114,22138,22178,22184,22199,22180,22289,22284,22323,22295,22277,22304
2017,22316,22326,22329,22335,22347,22360,22374,22310,22333,22361,22379,22384
2018,22368,22410,22421,22435,22459,22477,22449,22469,22484,22483,22473,22509
2019,22519,22529,22561,22599,22596,22597,22557,22599,22655,22680,22714,22731
2020,22784,22879,22825,21904,21421,21416,21511,21963,21923,21771,21698,21691
2021,21788,21805,21859,21910,21976,22025,22076,22096,22111,22094,22114,22141
2022,22174,22198,,,,,,,,,,
