Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,11838,11860,11898,11916,11927,11936,11964,11960,11954,11961,11950,11960
2013,11983,11996,11999,12000,12000,12004,11984,12014,12032,12056,12079,12083
2014,12081,12106,12120,12134,12146,12170,12189,12208,12226,12259,12284,12292
2015,12292,12301,12312,12318,12333,12334,12349,12345,12354,12362,12357,12362
2016,12383,12365,12342,12353,12332,12350,12372,12348,12347,12345,12342,12355
2017,12366,12380,12393,12400,12409,12422,12423,12467,12477,12490,12505,12533
2018,12556,12582,12608,12632,12661,12693,12714,12724,12743,12762,12774,12793
2019,12822,12821,12819,12824,12821,12829,12832,12827,12820,12764,12812,12795
2020,12784,12785,12717,11423,11656,11990,12025,12050,12095,12122,12157,12190
2021,12184,12222,12268,12240,12268,12288,12350,12391,12413,12466,12514,12555
2022,12571,12607,,,,,,,,,,
