Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,111304,111565,111809,111903,112023,112077,112246,112415,112593,112774,112950,113185
2013,113394,113660,113810,114002,114229,114434,114571,114797,114980,115210,115461,115553
2014,115734,115889,116135,116440,116679,116942,117168,117402,117669,117901,118177,118430
2015,118608,118861,118940,119189,119513,119684,119951,120066,120241,120531,120743,121000
2016,121091,121279,121476,121667,121693,121970,122232,122380,122630,122776,122924,123111
2017,123312,123492,123631,123830,124041,124225,124394,124603,124679,124792,124974,125145
2018,125294,125654,125868,126033,126342,126507,126601,126800,126842,126988,127100,127312
2019,127581,127595,127787,128037,128117,128246,128364,128482,128589,128657,128875,129058
2020,129344,129625,128181,108609,111734,116244,117537,118750,119709,120508,120914,120806
2021,121229,121922,122572,122784,123165,123673,124311,124808,125217,125911,126538,127099
2022,127547,128201,,,,,,,,,,
