Year,Jan_U,Jan_W,Jan_Emp,Jan_LF,Feb_U,Feb_W,Feb_Emp,Feb_LF,Mar_U,Mar_W,Mar_Emp,Mar_LF,Apr_U,Apr_W,Apr_Emp,Apr_LF,May_U,May_W,May_Emp,May_LF,Jun_U,Jun_W,Jun_Emp,Jun_LF,Jul_U,Jul_W,Jul_Emp,Jul_LF,Aug_U,Aug_W,Aug_Emp,Aug_LF,Sep_U,Sep_W,Sep_Emp,Sep_LF,Oct_U,Oct_W,Oct_Emp,Oct_LF,Nov_U,Nov_W,Nov_Emp,Nov_LF,Dec_U,Dec_W,Dec_Emp,Dec_LF
1948,23.7,23.8,58061,60095,23.5,23.6,58196,60524,23.4,23.6,57671,60070,23.8,23.9,58291,60677,23.9,24.1,57854,59972,24.1,24.2,58743,60957,24.4,24.5,58968,61181,24.5,24.6,58456,60806,24.5,24.6,58513,60815,24.4,24.5,58387,60646,24.2,24.4,58417,60702,24.1,24.2,58740,61169
1949,24.0,24.2,58175,60771,23.8,23.9,58208,61057,23.8,24.0,58043,61073,23.9,24.0,57747,61007,23.8,24.0,57552,61259,23.9,24.0,57172,60948,23.7,23.8,57190,61301,23.8,23.9,57397,61590,23.9,24.0,57584,61633,23.7,23.9,57269,62185,23.8,23.9,58009,62005,23.6,23.8,57845,61908
1950,23.5,23.7,57635,61661,23.5,23.6,57751,61687,23.6,23.7,57728,61604,23.6,23.7,58583,62158,23.7,23.8,58649,62083,23.8,24.0,59052,62419,24.1,24.2,59001,62121,24.3,24.4,59797,62596,24.4,24.6,59575,62349,24.6,24.7,59803,62428,24.7,24.8,59697,62286,25.0,25.1,59429,62068
1951,25.4,25.5,59636,61941,25.7,25.9,59661,61778,25.8,26.0,60401,62526,25.8,26.0,59889,61808,25.9,26.1,60188,62044,25.9,26.1,59620,61615,25.9,26.1,60156,62106,25.9,26.1,59994,61927,26.1,26.3,59713,61780,26.2,26.4,60010,62204,26.4,26.5,59836,62014,26.5,26.6,60497,62457
1952,26.5,26.6,60460,62432,26.3,26.5,60462,62419,26.3,26.5,59908,61721,26.4,26.6,59909,61720,26.4,26.6,60195,62058,26.5,26.7,60219,62103,26.7,26.9,59971,61962,26.7,26.9,59790,61877,26.7,26.9,60521,62457,26.7,26.9,60132,61971,26.7,26.9,60748,62491,26.7,26.9,60954,62621
1953,26.6,26.8,61600,63439,26.5,26.7,61884,63520,26.6,26.7,62010,63657,26.6,26.8,61444,63167,26.7,26.8,61019,62615,26.8,26.9,61456,63063,26.8,27.0,61397,63057,26.9,27.1,61151,62816,26.9,27.1,60906,62727,27.0,27.2,60893,62867,26.9,27.1,60738,62949,26.9,27.0,59977,62795
1954,26.9,27.1,60024,63101,26.9,27.1,60663,63994,26.9,27.0,60186,63793,26.8,27.0,60185,63934,26.9,27.1,59908,63675,26.9,27.1,59792,63343,26.9,27.1,59643,63302,26.9,27.1,59853,63707,26.8,27.0,60282,64209,26.8,26.9,60270,63936,26.8,27.0,60357,63759,26.7,26.9,60116,63312
1955,26.7,26.9,60753,63910,26.7,26.9,60727,63696,26.7,26.9,60964,63882,26.7,26.9,61515,64564,26.7,26.9,61634,64381,26.7,26.9,61781,64482,26.8,27.0,62513,65145,26.8,26.9,62797,65581,26.9,27.0,62950,65628,26.9,27.0,62991,65821,26.9,27.1,63257,66037,26.8,27.0,63684,66445
1956,26.8,27.0,63753,66419,26.8,27.0,63518,66124,26.8,27.0,63411,66175,26.9,27.0,63614,66264,27.0,27.2,63861,66722,27.2,27.3,63820,66702,27.4,27.5,63800,66752,27.3,27.5,63972,66673,27.4,27.5,64079,66714,27.5,27.7,63975,66546,27.5,27.7,63796,66657,27.6,27.8,63910,66700
1957,27.6,27.8,63632,66428,27.7,27.9,64257,66879,27.8,28.0,64404,66913,27.9,28.1,64047,66647,28.0,28.1,63985,66695,28.1,28.3,64196,67052,28.3,28.4,64540,67336,28.3,28.5,63959,66706,28.3,28.5,64121,67064,28.3,28.5,64046,67066,28.4,28.6,63669,67123,28.4,28.6,63922,67398
