Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,133250,133512,133752,133834,133934,134007,134159,134331,134518,134677,134833,135072
2013,135263,135541,135680,135871,136093,136274,136386,136628,136815,137040,137304,137373
2014,137548,137714,137968,138293,138511,138837,139069,139257,139566,139818,140109,140377
2015,140568,140839,140910,141194,141525,141699,142001,142126,142281,142587,142824,143097
2016,143205,143417,143654,143851,143892,144150,144521,144664,144953,145071,145201,145415
2017,145628,145818,145960,146165,146388,146585,146768,146913,147012,147153,147353,147529
2018,147662,148064,148289,148468,148801,148984,149050,149269,149326,149471,149573,149821
2019,150100,150124,150348,150636,150713,150843,150921,151081,151244,151337,151589,151789
2020,152128,152504,151006,130513,133155,137660,139048,140713,141632,142279,142612,142497
2021,143017,143727,144431,144694,145141,145698,146387,146904,147328,148005,148652,149240
2022,149721,150399,,,,,,,,,,
