Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1948,23.8,23.6,23.6,23.9,24.1,24.2,24.5,24.6,24.6,24.5,24.4,24.2,,
1949,24.2,23.9,24.0,24.0,24.0,24.0,23.8,23.9,24.0,23.9,23.9,23.8,,
1950,23.7,23.6,23.7,23.7,23.8,24.0,24.2,24.4,24.6,24.7,24.8,25.1,,
1951,25.5,25.9,26.0,26.0,26.1,26.1,26.1,26.1,26.3,26.4,26.5,26.6,,
1952,26.6,26.5,26.5,26.6,26.6,26.7,26.9,26.9,26.9,26.9,26.9,26.9,,
1953,26.8,26.7,26.7,26.8,26.8,26.9,27.0,27.1,27.1,27.2,27.1,27.0,,
1954,27.1,27.1,27.0,27.0,27.1,27.1,27.1,27.1,27.0,26.9,27.0,26.9,,
1955,26.9,26.9,26.9,26.9,26.9,26.9,27.0,26.9,27.0,27.0,27.1,27.0,,
1956,27.0,27.0,27.0,27.0,27.2,27.3,27.5,27.5,27.5,27.7,27.7,27.8,,
1957,27.8,27.9,28.0,28.1,28.1,28.3,28.4,28.5,28.5,28.5,28.6,28.6,,
1958,28.8,28.8,29.0,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,,
1959,29.1,29.1,29.1,29.1,29.2,29.3,29.4,29.3,29.4,29.5,29.5,29.5,,
1960,29.5,29.5,29.5,29.7,29.7,29.8,29.8,29.8,29.8,29.9,30.0,30.0,,
1961,30.0,30.0,30.0,30.0,30.0,30.0,30.1,30.1,30.2,30.2,30.2,30.2,,
1962,30.2,30.2,30.3,30.4,30.4,30.4,30.4,30.4,30.6,30.6,30.6,30.6,,
1963,30.6,30.6,30.7,30.7,30.7,30.8,30.9,30.9,30.9,31.0,31.0,31.1,,
1964,31.1,31.1,31.1,31.1,31.1,31.2,31.3,31.2,31.3,31.3,31.4,31.4,,
1965,31.4,31.4,31.5,31.6,31.6,31.8,31.8,31.8,31.8,31.9,31.9,32.0,,
1966,32.0,32.2,32.3,32.5,32.5,32.6,32.7,32.9,32.9,33.1,33.1,33.1,,
1967,33.1,33.1,33.2,33.3,33.4,33.5,33.6,33.7,33.8,33.9,34.0,34.1,,
1968,34.2,34.3,34.5,34.6,34.7,34.9,35.1,35.2,35.3,35.5,35.6,35.7,,
1969,35.8,36.0,36.3,36.5,36.6,36.8,37.0,37.2,37.3,37.5,37.7,37.9,,
1970,38.0,38.2,38.4,38.7,38.8,39.0,39.2,39.2,39.4,39.6,39.8,40.0,,
1971,40.0,40.1,40.2,40.4,40.6,40.8,40.9,41.0,41.0,41.1,41.2,41.3,,
1972,41.4,41.6,41.6,41.7,41.9,42.0,42.1,42.2,42.4,42.5,42.6,42.7,,
1973,42.9,43.2,43.6,43.9,44.1,44.4,44.5,45.4,45.5,45.9,46.2,46.5,,
1974,46.9,47.5,48.0,48.3,48.8,49.3,49.7,50.3,50.9,51.4,51.8,52.2,,
1975,52.4,52.8,53.0,53.2,53.5,53.9,54.5,54.7,54.9,55.3,55.6,55.8,,
1976,56.0,56.1,56.2,56.5,56.8,57.1,57.4,57.7,57.9,58.2,58.3,58.5,,
1977,58.9,59.5,59.8,60.3,60.6,61.0,61.3,61.5,61.8,61.9,62.2,62.5,,
1978,62.8,63.2,63.7,64.3,64.9,65.6,66.0,66.4,66.8,67.4,67.7,68.1,,
1979,68.7,69.5,70.3,71.1,71.9,72.8,73.7,74.4,75.1,75.7,76.4,77.2,,
1980,78.3,79.4,80.5,81.4,82.3,83.2,83.3,83.8,84.6,85.3,86.1,86.9,,
1981,87.5,88.5,89.0,89.6,90.3,91.1,92.2,92.8,93.7,93.9,94.1,94.4,,
1982,94.7,95.0,94.8,95.2,96.2,97.4,98.0,98.2,98.3,98.6,98.4,98.0,,
1983,98.1,98.1,98.4,99.0,99.5,99.8,100.1,100.5,101.0,101.2,101.2,101.2,,
1984,101.6,101.8,101.8,102.1,102.5,102.8,103.2,104.2,104.8,104.8,104.7,104.8,102.1,104.4
1985,104.9,105.4,105.9,106.3,106.7,107.0,107.1,107.3,107.6,107.9,108.3,108.6,106.0,107.8
1986,108.9,108.5,107.9,107.6,107.9,108.4,108.4,108.6,109.1,109.1,109.2,109.3,108.2,109.0
1987,110.0,110.5,111.0,111.6,111.9,112.4,112.7,113.3,113.8,114.1,114.3,114.2,111.2,113.7
1988,114.5,114.7,115.1,115.7,116.2,116.7,117.2,117.7,118.5,118.9,119.0,119.2,115.5,118.4
1989,119.7,120.2,120.8,121.8,122.5,122.8,123.2,123.2,123.6,124.2,124.4,124.6,121.3,123.9
1990,125.9,126.4,127.1,127.3,127.5,128.3,128.7,129.9,131.1,131.9,132.2,132.2,127.1,131.0
1991,132.8,132.8,133.0,133.3,133.8,134.1,134.3,134.6,135.2,135.4,135.8,135.9,133.3,135.2
1992,136.0,136.4,137.0,137.3,137.6,138.1,138.4,138.8,139.1,139.6,139.8,139.8,137.1,139.3
1993,140.3,140.7,141.1,141.6,141.9,142.0,142.1,142.4,142.6,143.3,143.4,143.3,141.3,142.9
1994,143.6,144.0,144.4,144.7,144.9,145.4,145.8,146.5,146.9,147.0,147.3,147.2,144.5,146.8
1995,147.8,148.3,148.7,149.3,149.6,149.9,149.9,150.2,150.6,151.0,150.9,150.9,148.9,150.6
1996,151.7,152.2,152.9,153.6,154.0,154.1,154.3,154.5,155.1,155.5,155.9,155.9,153.1,155.2
1997,156.3,156.8,157.0,157.2,157.2,157.4,157.5,157.8,158.3,158.5,158.5,158.2,157.0,158.1
1998,158.4,158.5,158.7,159.1,159.5,159.7,159.8,160.0,160.2,160.6,160.7,160.7,159.0,160.3
1999,161.0,161.1,161.4,162.7,162.8,162.8,163.3,163.8,164.7,165.0,165.1,165.1,162.0,164.5
2000,165.6,166.5,167.9,168.0,168.2,169.2,169.4,169.3,170.4,170.6,170.9,170.7,167.6,170.2
2001,171.7,172.4,172.6,173.5,174.4,174.6,173.8,173.8,174.8,174.0,173.7,172.9,173.2,173.8
2002,173.2,173.7,174.7,175.8,175.8,175.9,176.1,176.6,177.0,177.3,177.4,177.0,174.9,176.9
2003,177.7,179.2,180.3,179.8,179.4,179.6,179.6,180.3,181.0,180.7,180.2,179.9,179.3,180.3
2004,180.9,181.9,182.9,183.5,184.7,185.3,184.9,185.0,185.4,186.5,186.8,186.0,183.2,185.8
2005,186.3,187.3,188.6,190.2,190.0,190.1,191.0,192.1,195.0,195.2,193.4,192.5,188.8,193.2
2006,194.0,194.2,195.3,197.2,198.2,198.6,199.2,199.6,198.4,197.0,196.8,197.2,196.3,198.0
2007,197.559,198.544,200.612,202.130,203.661,203.906,203.700,203.199,203.889,204.338,205.891,205.777,201.069,204.466
2008,206.744,207.254,209.147,210.698,212.788,215.223,216.304,215.247,214.935,212.182,207.296,204.813,210.309,211.796
2009,205.700,206.708,207.218,207.925,208.774,210.972,210.526,211.156,211.322,211.549,212.003,211.703,207.883,211.377
2010,212.568,212.544,213.525,213.958,214.124,213.839,213.898,214.205,214.306,214.623,214.750,215.262,213.426,214.507
2011,216.400,217.535,220.024,221.743,222.954,222.522,222.686,223.326,223.688,223.043,222.813,222.166,220.196,222.954
2012,223.216,224.317,226.304,227.012,226.600,226.036,225.568,227.056,228.184,227.974,226.595,225.889,225.581,226.878
2013,226.520,228.677,229.323,228.949,229.399,230.002,230.084,230.359,230.537,229.735,229.133,229.174,228.812,229.837
2014,230.040,230.871,232.560,233.443,234.216,234.702,234.525,234.030,234.170,233.229,231.551,229.909,232.639,232.902
2015,228.294,229.421,231.055,231.520,232.908,233.804,233.806,233.366,232.661,232.373,231.721,230.791,231.167,232.453
2016,231.061,230.972,232.209,233.438,234.436,235.289,234.771,234.904,235.495,235.732,235.215,235.390,232.901,235.251
2017,236.854,237.477,237.656,238.432,238.609,238.813,238.617,239.448,240.939,240.573,240.666,240.526,237.974,240.128
2018,241.919,242.988,243.463,244.607,245.770,246.196,246.155,246.336,246.565,247.038,245.933,244.786,244.157,246.136
2019,245.133,246.218,247.768,249.332,249.871,249.747,250.236,250.112,250.251,250.894,250.644,250.452,248.012,250.432
2020,251.361,251.935,251.375,249.515,249.521,251.054,252.636,253.597,254.004,254.076,253.826,254.081,250.794,253.703
2021,255.296,256.843,258.935,261.237,263.612,266.412,267.789,268.387,269.086,271.552,273.042,273.925,260.389,270.630
2022,276.296,,,,,,,,,,,,,
