Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,,,,,,,,,85.7,,,85.4
1984,,,85.9,,,87.1,,,85.1,,,84.2
1985,,,84.0,,,84.4,,,83.7,,,83.8
1986,,,83.6,,,83.3,,,82.4,,,83.3
1987,,,84.3,,,86.0,,,86.6,,,88.3
1988,,,89.8,,,92.2,,,94.1,,,93.8
1989,94.9,94.6,95.2,95.0,95.4,95.2,94.7,94.0,94.4,94.6,94.2,94.4
1990,95.2,94.6,94.8,95.1,95.3,95.1,95.3,95.4,95.8,96.6,96.7,96.3
1991,96.8,96.7,96.4,96.6,96.4,96.1,95.7,96.0,95.6,96.6,96.7,95.7
1992,95.7,96.3,96.2,96.4,96.7,96.5,96.6,96.3,96.6,96.3,96.2,96.3
1993,96.4,96.7,96.6,96.8,97.1,96.9,97.0,97.0,96.9,96.9,97.0,97.3
1994,98.0,98.0,98.2,98.2,98.5,98.5,98.7,98.9,99.1,99.7,100.4,101.1
1995,101.9,102.5,103.0,104.0,104.3,104.5,104.8,104.3,104.4,104.5,104.5,104.4
1996,104.9,104.7,104.6,105.2,105.6,105.4,104.9,104.7,103.9,103.6,103.2,103.2
1997,103.3,103.5,103.6,103.6,103.4,103.2,103.2,103.2,102.9,102.5,102.5,102.0
1998,101.3,101.0,100.7,100.3,100.4,99.9,99.5,99.0,98.5,98.4,98.6,98.5
1999,98.5,98.3,97.9,98.1,98.2,98.2,98.1,98.4,98.5,98.8,99.0,99.0
2000,99.2,99.6,100.0,100.0,100.2,100.1,100.0,99.8,100.4,100.3,100.3,100.1
2001,100.3,100.2,100.0,99.9,99.6,99.4,99.0,98.8,99.0,98.3,97.8,97.6
2002,97.5,97.3,97.6,98.0,98.0,98.0,98.3,98.5,98.8,98.7,98.8,98.6
2003,98.9,99.5,99.7,99.6,99.7,99.5,99.4,99.4,99.8,100.0,100.5,100.8
2004,101.5,102.2,103.0,103.7,104.1,103.4,103.9,103.4,103.8,104.4,104.7,104.8
2005,105.6,105.7,106.4,106.9,106.7,106.7,106.8,106.6,107.5,108.3,107.6,107.7
2006,108.5,108.6,108.8,109.6,110.4,111.2,111.6,112.1,111.7,111.4,111.8,112.5
2007,113.0,113.9,114.7,115.2,115.5,116.0,116.1,116.3,116.7,117.6,118.7,119.3
2008,120.7,121.8,123.8,124.4,124.8,126.1,128.0,125.9,124.9,122.3,118.4,115.8
2009,116.6,116.3,115.5,116.1,116.6,117.8,117.4,118.1,117.9,117.9,118.9,119.7
2010,120.7,120.3,121.2,122.5,123.1,122.2,122.0,123.0,123.7,124.7,126.6,127.5
2011,129.1,130.8,132.7,133.8,134.3,134.5,134.0,134.6,135.3,132.6,132.7,132.1
2012,132.5,133.1,134.1,134.7,134.0,131.7,132.2,133.4,134.5,134.6,133.8,133.6
2013,134.1,135.1,134.4,133.6,132.9,132.8,132.6,131.9,132.4,131.6,131.8,132.3
2014,132.7,133.7,134.9,133.5,133.7,133.0,133.1,132.4,131.9,130.7,129.5,128.3
2015,126.1,125.9,125.9,125.1,125.7,125.3,124.8,123.0,122.3,122.0,121.1,119.8
2016,118.7,118.2,118.1,118.7,120.0,120.9,121.1,120.1,120.5,120.7,120.8,121.3
2017,121.6,122.0,122.1,122.4,121.7,121.6,122.2,122.9,123.9,124.0,124.6,124.7
2018,125.6,125.8,126.3,126.9,127.8,128.0,127.4,127.3,127.3,127.9,126.9,126.1
2019,125.3,126.1,127.0,127.1,126.7,126.0,126.2,125.5,125.1,125.1,125.2,125.0
2020,125.8,124.3,122.5,118.2,118.2,120.3,121.5,122.1,122.8,123.0,124.0,125.5
2021,128.9,131.0,134.3,135.9,139.0,140.6,142.1,142.4,142.8,145.5,146.5,144.1
2022,148.3,,,,,,,,,,,
