Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1982,,,,,,,,,80.0,,,79.9
1983,,,77.7,,,77.8,,,77.6,,,78.0
1984,,,78.7,,,78.9,,,77.7,,,77.0
1985,,,75.5,,,75.8,,,76.0,,,77.8
1986,,,75.0,,,75.1,,,76.9,,,77.7
1987,,,80.8,,,83.6,,,84.3,,,85.5
1988,,,86.5,,,88.8,,,87.6,,,89.3
1989,91.1,90.6,91.3,92.0,92.6,91.5,90.5,90.0,90.4,90.9,91.1,91.6
1990,92.5,92.7,92.4,91.6,91.2,90.8,90.5,93.3,96.5,99.3,98.7,98.4
1991,97.0,95.0,95.0,94.2,94.0,93.4,92.8,93.1,93.3,94.1,94.5,94.3
1992,94.0,94.0,93.9,93.6,94.0,94.8,95.3,95.7,95.9,96.6,96.0,94.4
1993,94.3,94.2,94.7,95.2,95.5,95.0,94.5,94.4,94.5,94.9,94.4,93.5
1994,93.5,93.9,94.0,94.7,95.5,96.3,97.2,97.6,97.2,97.9,98.5,98.4
1995,98.7,99.4,99.9,100.9,101.8,101.4,101.1,100.8,100.8,100.4,100.6,101.0
1996,101.2,101.0,101.6,102.5,101.8,100.7,100.6,100.7,101.8,102.4,102.2,102.5
1997,102.2,101.2,100.0,98.8,98.8,98.8,98.5,98.4,98.4,98.6,98.1,97.2
1998,95.9,95.0,94.1,93.9,93.7,93.1,92.3,92.0,92.2,92.3,91.8,91.0
1999,91.3,91.2,91.5,92.4,93.1,92.9,93.8,94.8,95.8,96.0,96.7,97.4
2000,97.8,99.7,99.9,98.5,98.8,100.2,100.2,100.4,101.6,101.2,101.2,100.5
2001,100.5,99.9,98.3,97.8,98.0,97.6,96.1,96.0,95.9,93.7,92.3,91.4
2002,91.6,91.6,92.8,94.3,94.4,94.1,94.5,94.8,95.5,95.5,94.6,95.2
2003,96.9,98.5,99.1,96.0,95.3,96.2,96.7,96.7,96.2,96.3,96.8,97.5
2004,99.0,99.4,100.2,100.4,101.9,101.7,102.1,103.6,104.1,105.8,105.5,104.0
2005,104.6,105.5,107.8,108.8,107.9,109.2,110.5,112.1,114.4,114.5,112.3,112.3
2006,113.7,112.8,112.7,115.1,117.2,117.3,118.2,118.8,116.2,113.3,113.8,115.1
2007,113.7,114.1,115.9,117.5,118.6,120.0,121.5,121.1,121.8,123.6,127.5,127.3
2008,129.2,129.5,133.5,137.3,141.2,145.5,147.5,143.0,137.8,129.6,120.0,114.5
2009,113.0,113.0,113.6,114.8,116.8,120.0,119.3,121.1,121.3,122.3,124.1,124.4
2010,125.9,125.8,126.3,127.7,126.7,125.2,125.2,125.7,125.7,127.1,129.2,131.0
2011,133.0,135.3,139.3,142.9,143.1,142.2,142.4,141.9,141.7,141.2,142.2,142.2
2012,142.2,142.2,144.2,144.1,142.0,138.7,137.7,139.4,140.8,141.2,140.2,139.4
2013,140.1,141.3,141.2,140.2,139.4,138.8,138.9,139.4,139.8,138.9,137.7,137.8
2014,138.3,139.8,140.5,139.7,140.1,140.5,140.1,139.0,137.9,136.0,133.5,130.1
2015,126.0,125.5,125.3,125.1,126.5,126.6,125.4,123.2,121.9,121.5,120.8,119.3
2016,117.8,117.2,117.7,118.5,119.9,120.7,120.8,120.5,120.6,121.2,121.1,121.6
2017,122.3,122.7,122.5,122.8,122.7,122.4,122.2,122.9,123.9,124.1,125.3,125.5
2018,126.5,126.8,126.5,127.1,128.2,128.2,128.1,127.6,127.7,128.3,126.2,124.4
2019,124.6,125.9,126.6,126.8,127.0,125.6,125.6,124.9,125.0,124.5,124.7,125.0
2020,125.2,124.3,121.3,118.2,119.0,120.6,122.1,123.2,123.4,123.3,123.4,124.6
2021,126.5,128.0,129.9,131.1,132.8,134.2,134.6,134.3,134.9,136.9,137.9,137.3
2022,140.1,,,,,,,,,,,
